Top queries,Last 3 months (2023) Clicks,Last 3 months (2022) Clicks,Last 3 months (2023) Impressions,Last 3 months (2022) Impressions,Last 3 months (2023) CTR,Last 3 months (2022) CTR,Last 3 months (2023) Position,Last 3 months (2022) Position
party rooms to rent near me,1,0,1,0,100%,0%,6,0
book a party near me,1,0,1,0,100%,0%,7,0
the ice cream shop menu,0,0,1326,376,0%,0%,70.42,92.88
hudsonville cookie overload ice cream,0,0,430,0,0%,0%,82.21,0
cookeville tn,0,0,361,59,0%,0%,68.58,85.98
cookeville,0,0,305,10,0%,0%,66.43,112.4
coffee ice cream near me,0,0,302,25,0%,0%,22.88,20.96
cream menu,0,0,268,0,0%,0%,53.75,0
all ice cream flavors,0,1,224,60,0%,1.67%,30.15,58.43
flavor city,0,0,188,1,0%,0%,43.36,87
"cookeville,tn",0,0,163,28,0%,0%,71.11,85.43
ice cream in coffee,0,0,149,42,0%,0%,48.85,90.67
creamy ice cream near me,0,0,146,1,0%,0%,17.65,97
cream ice cream,0,0,143,0,0%,0%,66.83,0
coffee shops cookeville,0,3,142,20,0%,15%,10.86,7.8
ice cream coffee near me,0,0,141,5,0%,0%,7.42,21.4
mocha ice cream near me,0,0,141,3,0%,0%,75.6,11
ice cream menu,0,0,140,0,0%,0%,28.55,0
creamy ice cream,0,0,140,0,0%,0%,93.72,0
coffee_ice_cream menu,0,0,133,62,0%,0%,22.6,45.44
ice cream places in the city,0,0,132,0,0%,0%,65.19,0
coffee and ice cream shop near me,0,0,130,0,0%,0%,11.97,0
cookville tn,0,0,129,20,0%,0%,71.86,90.9
google ice cream near me,0,0,127,0,0%,0%,50.32,0
exotic ice cream near me,0,0,125,4,0%,0%,55.2,47.75
city ice cream,0,0,124,58,0%,0%,10.25,13.98
"cookeville, tn",0,0,119,24,0%,0%,70.25,88.58
cream,0,0,119,50,0%,0%,70.35,3.16
stellar coffee co. menu,0,0,117,14,0%,0%,48.01,64.86
ice cream coffee,0,0,117,2,0%,0%,66.43,70
whipped ice cream near me,0,0,115,0,0%,0%,53.26,0
pralines and cream ice cream near me,0,0,114,5,0%,0%,80.46,79.6
city of cookeville,0,0,113,157,0%,0%,26.14,25.96
we buy houses cookeville tn,0,0,109,43,0%,0%,64.37,71.02
coffee cookeville,0,3,104,130,0%,2.31%,10.91,10.15
hudsonville caramel coffee chip ice cream,0,0,104,0,0%,0%,93.15,0
cookeville tn to nashville tn,0,0,100,0,0%,0%,75.84,0
scroll ice cream near me,0,0,100,1,0%,0%,84.77,81
