Top queries,Last 3 months (2023) Clicks,Last 3 months (2022) Clicks,Last 3 months (2023) Impressions,Last 3 months (2022) Impressions,Last 3 months (2023) CTR,Last 3 months (2022) CTR,Last 3 months (2023) Position,Last 3 months (2022) Position
house of cream,0,0,7,7,0%,0%,31.57,59.29
ice cream crossville tn,0,0,7,4,0%,0%,36.43,38.5
cookeville tn downtown,0,0,7,4,0%,0%,43.29,63.75
the white coffee and ice cream,0,0,7,0,0%,0%,54.43,0
cream ice cream flavors,0,0,7,0,0%,0%,56.29,0
ice cream indulgent,0,0,7,0,0%,0%,58.14,0
coffee ice cream cone,0,0,7,0,0%,0%,60.71,0
ice cream close by,0,0,7,0,0%,0%,61.14,0
food city cookeville,0,0,7,8,0%,0%,63.57,2
ice cream soda near me,0,0,7,0,0%,0%,64.14,0
city of cookeville phone number,0,0,7,4,0%,0%,66.43,79.75
decaf coffee ice cream,0,0,7,0,0%,0%,85.43,0
superman flavors,0,0,7,0,0%,0%,89.86,0
google ice cream,0,0,7,0,0%,0%,90.86,0
ice cream in a coffee can,0,0,7,0,0%,0%,91.43,0
business in cookeville tn,0,0,7,0,0%,0%,94.71,0
activities in cookeville tn,0,0,6,0,0%,0%,1,0
ice,0,0,6,11,0%,0%,4.67,3.09
local coffee shops near me,0,0,6,6,0%,0%,8.5,11.17
coffee shop,0,0,6,0,0%,0%,10.5,0
birthday party venues near me,0,0,6,10,0%,0%,12.5,9.7
cream city logo,0,0,6,0,0%,0%,17.5,0
menu city ice cream,0,0,6,2,0%,0%,18.17,10
the cream city,0,0,6,3,0%,0%,19.17,56.67
city of cookeville tennessee,0,0,6,1,0%,0%,28.83,45
red blue yellow ice cream,0,0,6,2,0%,0%,28.83,51
ice cream house menu,0,0,6,13,0%,0%,34.5,45
coffee ice cream flavor,0,0,6,1,0%,0%,37.33,92
sure cream,0,0,6,0,0%,0%,38.33,0
all the flavors of ice cream,0,0,6,1,0%,0%,38.67,97
white house coffee and creamery,0,0,6,0,0%,0%,42.17,0
dreamland ice cream shop menu,0,0,6,0,0%,0%,45.17,0
hand made ice cream near me,0,0,6,0,0%,0%,46.83,0
ice cream near ne,0,0,6,1,0%,0%,49,4
 -sour cream,0,0,6,0,0%,0%,51.5,0
vanilla café e gelato,0,0,6,0,0%,0%,54,0
city flavor,0,0,6,0,0%,0%,55.83,0
american honey creamery menu,0,0,6,0,0%,0%,59.33,0
cokeville tn,0,0,6,1,0%,0%,59.67,90
coffee soft serve ice cream,0,0,6,0,0%,0%,61.5,0
32 flavors ice cream,0,0,6,0,0%,0%,61.67,0
karen crean,0,0,6,0,0%,0%,62.33,0
ice cream nashville downtown,0,0,6,0,0%,0%,64.17,0
cream of coffee,0,0,6,0,0%,0%,64.67,0
cream coffe,0,0,6,0,0%,0%,65.83,0
yellow ice cream flavor,0,0,6,3,0%,0%,67.33,86
wave ice cream and coffee menu,0,0,6,0,0%,0%,71,0
creams ice cream near me,0,0,6,0,0%,0%,72.83,0
who sells coffee ice cream,0,0,6,0,0%,0%,73.67,0
is superman ice cream just vanilla,0,0,6,0,0%,0%,74,0
the house of ice cream,0,0,6,7,0%,0%,74.17,88.29
modern ice cream shop,0,0,6,0,0%,0%,74.67,0
butterscotch ice cream near me,0,0,6,6,0%,0%,76.5,70.67
nutter ice cream,0,0,6,0,0%,0%,81,0
tech cream,0,0,6,0,0%,0%,85.17,0
what time is it in cookeville tennessee,0,0,6,0,0%,0%,85.17,0
city lake cookeville tn,0,0,6,0,0%,0%,85.5,0
who makes coffee ice cream,0,0,6,0,0%,0%,88,0
flavors in superman ice cream,0,0,6,0,0%,0%,88.67,0
party room reservation,0,0,6,0,0%,0%,91.17,0
natural dairy flavors,0,0,6,0,0%,0%,94.33,0
mint ice cream gum,0,0,5,0,0%,0%,1,0
things to do near cookeville tn,0,0,5,0,0%,0%,1.6,0
cookeville tn things to do,0,0,5,0,0%,0%,2,0
cookeville tn attractions,0,0,5,0,0%,0%,2.6,0
rental space for party,0,0,5,0,0%,0%,5.4,0
coffee shops in cookeville tennessee,0,0,5,0,0%,0%,11.8,0
ice cream cakes near me,0,0,5,29,0%,0%,13.4,90.48
coffee shop ice cream,0,0,5,0,0%,0%,14.8,0
hot coffee room for cream,0,0,5,0,0%,0%,16.2,0
icecream now (southern artery) menu,0,0,5,0,0%,0%,24.2,0
icecream menu,0,0,5,0,0%,0%,26.2,0
city plus cream,0,0,5,2,0%,0%,28.6,71
venues in cookeville tn,0,0,5,6,0%,0%,34,87.83
all icecream flavors,0,0,5,1,0%,0%,34.6,87
bliss ice cream & coffee menu,0,0,5,2,0%,0%,37.2,63
ice cream near me open,0,0,5,2,0%,0%,39.2,3.5
american honey creamery and coffee co,0,0,5,0,0%,0%,40,0
ive cream near me,0,0,5,1,0%,0%,41.6,2
ice cream.flavors,0,0,5,0,0%,0%,44.4,0
creamy near me,0,0,5,1,0%,0%,46.4,2
creams menu,0,0,5,0,0%,0%,46.6,0
gelato city,0,0,5,0,0%,0%,47.2,0
ice kreme,0,0,5,0,0%,0%,47.8,0
ice cream time menu,0,0,5,0,0%,0%,55.2,0
milk ice cream flavors,0,0,5,0,0%,0%,55.4,0
coffees and cream,0,0,5,0,0%,0%,57.8,0
reserve party room,0,0,5,0,0%,0%,59.6,0
how do you have a party in space,0,0,5,0,0%,0%,61.2,0
ice cream union city tn,0,0,5,0,0%,0%,61.2,0
city of cookeville tn jobs,0,0,5,0,0%,0%,61.4,0
ice cream new city,0,0,5,0,0%,0%,61.4,0
nutters ice cream,0,0,5,1,0%,0%,63.8,55
ice cream place menu,0,0,5,0,0%,0%,65.8,0
ice cream all flavors,0,0,5,1,0%,0%,66.6,90
city gelato,0,0,5,0,0%,0%,67.6,0
flavour city,0,0,5,0,0%,0%,67.6,0
plain ice cream flavors,0,0,5,3,0%,0%,68,85.67
e-40 ice cream,0,0,5,0,0%,0%,69.4,0
ice tn,0,0,5,5,0%,0%,71.2,29.2
carrageenan free ice cream,0,0,5,0,0%,0%,71.4,0
iced cream,0,0,5,0,0%,0%,72,0
businesses in cookeville tn,0,0,5,0,0%,0%,73.2,0
cookevile tn,0,0,5,0,0%,0%,74.4,0
cream city classic,0,0,5,0,0%,0%,74.6,0
ice cream signage,0,0,5,0,0%,0%,75.4,0
chocolate ice cream cone near me,0,0,5,0,0%,0%,78.4,0
coffee n cream,0,0,5,39,0%,0%,78.4,94.49
cream on coffee,0,0,5,0,0%,0%,79.8,0
ice cream favors,0,0,5,0,0%,0%,81.2,0
creamery blend vanilla ice cream,0,0,5,0,0%,0%,82.6,0
butter ice cream flavors,0,0,5,0,0%,0%,85,0
book store cookeville tn,0,0,5,0,0%,0%,85.2,0
current time in cookeville tn,0,0,5,0,0%,0%,86,0
superman ice cream ingredients,0,0,5,0,0%,0%,87.8,0
cream ice cream ice cream ice cream,0,0,5,0,0%,0%,89,0
locally roasted coffee near me,0,0,5,0,0%,0%,91.2,0
blueberry soft serve ice cream near me,0,0,5,0,0%,0%,98.6,0
blue ice cream flavors,0,0,5,0,0%,0%,101.4,0
fun things to do near me,0,0,4,1,0%,0%,1,1
cookeville things to do,0,0,4,0,0%,0%,2,0
ice cream near.me,0,0,4,2,0%,0%,2,4
coffee open near me,0,0,4,1,0%,0%,2.75,11
cookeville attractions,0,0,4,0,0%,0%,2.75,0
ice.cream,0,0,4,0,0%,0%,3.5,0
mono iris chocolate,0,0,4,0,0%,0%,3.5,0
city cafe,0,0,4,6,0%,0%,4.5,1
ice cream mear me,0,0,4,0,0%,0%,4.75,0
country club ice cream,0,0,4,0,0%,0%,5.25,0
coco nutters ice cream,0,0,4,0,0%,0%,7,0
ice cream coffee shop near me,0,0,4,4,0%,0%,7.25,5.25
coffee mear me,0,0,4,0,0%,0%,8,0
hot brownie ice cream near me,0,0,4,0,0%,0%,8,0
coffee bear me,0,0,4,4,0%,0%,8.75,11.25
coffee with ice cream near me,0,0,4,0,0%,0%,9.75,0
dairy free ice cream near me,0,0,4,1,0%,0%,10,1
some years ago an ice cream company,0,0,4,0,0%,0%,10,0
cram city,0,0,4,1,0%,0%,11,61
local ice cream near me,0,0,4,1,0%,0%,13.75,2
espresso ice cream near me,0,0,4,1,0%,0%,14,3
ice.cream near me,0,0,4,2,0%,0%,16.25,2
local coffee and cream,0,0,4,0,0%,0%,17.75,0
white house ice cream near me,0,0,4,0,0%,0%,19,0
ice cream & coffee,0,0,4,0,0%,0%,19.25,0
ice cream near me.,0,0,4,0,0%,0%,21.75,0
tn sherbet,0,0,4,0,0%,0%,23,0
ice cream without soy lecithin,0,0,4,1,0%,0%,29.25,81
making ice cream stellar reader,0,0,4,0,0%,0%,30.25,0
house of ice cream menu,0,0,4,8,0%,0%,30.5,32.62
steamed ice cream,0,0,4,1,0%,0%,36.75,81
party room online,0,0,4,3,0%,0%,37.5,75
cityice,0,0,4,4,0%,0%,38,55.25
cream on ice cream,0,0,4,0,0%,0%,40.75,0
shops in cookeville tn,0,0,4,0,0%,0%,43,0
icecream flavour,0,0,4,0,0%,0%,45,0
ice cream or icecream,0,0,4,0,0%,0%,50,0
city ice cream cafe,0,0,4,0,0%,0%,50.5,0
water ice cream & more menu,0,0,4,28,0%,0%,51,72.96
all flavors ice cream,0,0,4,0,0%,0%,51.75,0
food city cookeville tennessee,0,0,4,14,0%,0%,51.75,1
ice cream coffe,0,0,4,0,0%,0%,52,0
savage ice cream,0,0,4,0,0%,0%,52.25,0
ice cream options,0,0,4,0,0%,0%,52.5,0
how far is cookeville tn from me,0,0,4,0,0%,0%,52.75,0
icecream in coffee,0,0,4,0,0%,0%,53.25,0
ice cream shops near us,0,0,4,0,0%,0%,54.75,0
red blue and yellow ice cream,0,0,4,2,0%,0%,62,72.5
cookesville,0,0,4,0,0%,0%,62.25,0
room for cream,0,0,4,0,0%,0%,64,0
natural ice cream flavors,0,0,4,1,0%,0%,65.75,48
crème your coffee,0,0,4,2,0%,0%,66.25,95
old ice cream shop,0,0,4,0,0%,0%,68.75,0
cafe grandma neon sign,0,0,4,0,0%,0%,69.25,0
tennessee toffee ice cream,0,0,4,0,0%,0%,69.25,0
city of cookeville public works,0,0,4,1,0%,0%,71.25,74
8 f ice cream,0,0,4,0,0%,0%,72.25,0
let it be ice cream,0,0,4,0,0%,0%,72.75,0
how far is cookeville tennessee from nashville tennessee,0,0,4,0,0%,0%,74.5,0
happy's ice cream menu,0,0,4,2,0%,0%,74.75,73
creams coffee,0,0,4,0,0%,0%,77,0
coffee house party,0,0,4,0,0%,0%,80.75,0
what time is it in cookeville tn,0,0,4,0,0%,0%,81.25,0
cookeville tennessee to nashville tennessee,0,0,4,0,0%,0%,82.5,0
moosic city ice cream,0,0,4,0,0%,0%,83,0
n ice cream flavors,0,0,4,0,0%,0%,83,0
espresso oreo ice cream,0,0,4,0,0%,0%,85.5,0
queen city creamery menu,0,0,4,0,0%,0%,85.75,0
ice cream places near me open late,0,0,4,0,0%,0%,86.25,0
byu creamery flavors,0,0,4,3,0%,0%,87.75,92.67
ice cream near home,0,0,4,0,0%,0%,88.25,0
ice cream cream,0,0,4,0,0%,0%,91,0
cookeville time,0,0,4,0,0%,0%,92.5,0
jake hoot tennessee strong,0,0,4,0,0%,0%,93.75,0
what is cream ice,0,0,4,0,0%,0%,95.25,0
caramel ice cream near me,0,0,4,0,0%,0%,96.75,0
where is cookeville tn,0,0,4,15,0%,0%,101.25,76.8
handcrafted ice cream near me,0,0,3,0,0%,0%,1,0
things to do in baxter tn,0,0,3,0,0%,0%,1,0
cookeville activities,0,0,3,0,0%,0%,1.67,0
ice cream.near.me,0,0,3,2,0%,0%,1.67,2
things to do in cookville,0,0,3,0,0%,0%,1.67,0
attractions near me,0,0,3,0,0%,0%,2,0
ife cream near me,0,0,3,0,0%,0%,2,0
places with ice cream near me,0,0,3,1,0%,0%,2,7
culver's brownie batter overload,0,0,3,0,0%,0%,2.67,0
fun stuff to do in cookeville tn,0,0,3,0,0%,0%,3,0
coconut road ice cream,0,0,3,0,0%,0%,4.33,0
creamry,0,0,3,0,0%,0%,4.33,0
sherbet near me,0,0,3,1,0%,0%,4.67,5
the creamery,0,2,3,8,0%,25%,4.67,1
ice cream creamery,0,0,3,2,0%,0%,5,5.5
welcome city menu,0,0,3,0,0%,0%,5,0
creamy ice cream shop,0,0,3,1,0%,0%,5.33,88
city icecream,0,0,3,0,0%,0%,6.33,0
icecream shop near me,0,0,3,1,0%,0%,6.67,2
coffe near me,0,0,3,1,0%,0%,8,14
cookie butter alcohol,0,0,3,0,0%,0%,8.67,0
scoops ice cream,0,0,3,3,0%,0%,9.67,7.33
cream city jersey,0,0,3,0,0%,0%,12.67,0
ice house,0,0,3,0,0%,0%,12.67,0
chocolate ice cream dreamlight valley,0,0,3,0,0%,0%,13,0
ice cream dreamlight valley,0,0,3,0,0%,0%,13,0
ice cream stores,0,0,3,0,0%,0%,13.67,0
coffee and cream near me,0,0,3,0,0%,0%,17.67,0
folic acid cream,0,0,3,0,0%,0%,19,0
ice cafe near me,0,0,3,0,0%,0%,19.67,0
o town ice cream menu,0,0,3,0,0%,0%,20.67,0
what is cream city,0,0,3,2,0%,0%,24.67,56.5
"city of cookeville, tn",0,0,3,0,0%,0%,27,0
ice cream flavors that start with e,0,0,3,0,0%,0%,27,0
party city west broad,0,0,3,0,0%,0%,27,0
coffee plus cream,0,0,3,1,0%,0%,28,71
coffee cream near me,0,0,3,0,0%,0%,28.33,0
old cream,0,0,3,0,0%,0%,30.33,0
red yellow blue ice cream,0,0,3,0,0%,0%,32.33,0
southern coffee house and creamery,0,0,3,0,0%,0%,32.33,0
ice cream newr me,0,0,3,0,0%,0%,32.67,0
hand scooped ice cream near me,0,0,3,1,0%,0%,33,2
ice cream sparta tn,0,0,3,1,0%,0%,35,1
ice cream bear me,0,0,3,4,0%,0%,36.33,2
orange city ice cream,0,0,3,0,0%,0%,36.33,0
what time does cream close,0,0,3,0,0%,0%,37,0
ice cream or iced cream,0,0,3,0,0%,0%,37.33,0
the ice cream shop (main street liquor) menu,0,0,3,0,0%,0%,39,0
cream and black house,0,0,3,0,0%,0%,41.33,0
is it ice cream or iced cream,0,0,3,1,0%,0%,41.67,51
ice coffee near me,0,0,3,0,0%,0%,42.67,0
flavored cornstarch chunks,0,0,3,2,0%,0%,43.67,52.5
cream delicious ice cream,0,0,3,0,0%,0%,44.67,0
ice cream shop building,0,0,3,3,0%,0%,44.67,9.33
sherbet houses,0,0,3,0,0%,0%,44.67,0
americano ice cream,0,0,3,2,0%,0%,45,71.5
blue color ice cream flavors,0,0,3,4,0%,0%,48.67,77.25
ice cream flavors that start with a,0,0,3,0,0%,0%,48.67,0
food for your mood cookeville tn,0,0,3,0,0%,0%,49.67,0
rich ice cream flavors,0,0,3,0,0%,0%,50,0
ice cream manu,0,0,3,0,0%,0%,52.33,0
blue and yellow ice cream,0,0,3,2,0%,0%,52.67,61.5
ice cream cone coffee,0,0,3,0,0%,0%,54,0
over ice cream,0,0,3,0,0%,0%,55.67,0
cookvile,0,0,3,0,0%,0%,56,0
double rainbow ice cream menu,0,0,3,0,0%,0%,57.33,0
coffee ice cream toppings,0,0,3,1,0%,0%,57.67,58
west orange creamery menu,0,0,3,0,0%,0%,58.33,0
17 hands coffee menu,0,0,3,0,0%,0%,59,0
coffee house menu,0,0,3,0,0%,0%,59.33,0
ice cream natural flavors,0,0,3,2,0%,0%,59.67,34.5
house of flavors ice cream menu,0,0,3,1,0%,0%,61.33,78
water 'n ice menu,0,0,3,1,0%,0%,61.33,80
local ice cream,0,0,3,4,0%,0%,63,41.75
cream icecream,0,0,3,0,0%,0%,64,0
cream city club,0,0,3,0,0%,0%,64.33,0
n plus one coffee,0,0,3,0,0%,0%,64.33,0
soft ice cream near me,0,0,3,0,0%,0%,64.33,0
double rainbow cafe menu,0,0,3,0,0%,0%,64.67,0
icecream coffee,0,0,3,0,0%,0%,66,0
beans n cream menu,0,0,3,0,0%,0%,66.33,0
water and ice menu,0,0,3,0,0%,0%,66.67,0
half pint blondie,0,0,3,0,0%,0%,67,0
google cream,0,0,3,0,0%,0%,67.67,0
dairy queen cookeville tennessee,0,0,3,0,0%,0%,69,0
what are the flavors of superman ice cream,0,0,3,0,0%,0%,69,0
soy lecithin in ice cream,0,0,3,3,0%,0%,69.33,80.67
city coffee house,0,0,3,0,0%,0%,70.33,0
west side ice cream,0,0,3,0,0%,0%,71.33,0
cookeville tn.,0,0,3,0,0%,0%,74.33,0
flavors of superman ice cream,0,0,3,0,0%,0%,74.67,0
hot cream,0,0,3,0,0%,0%,74.67,0
ice cream for ice cream,0,0,3,0,0%,0%,75,0
ice cream popular flavors,0,0,3,0,0%,0%,76,0
the ice cream menu,0,0,3,0,0%,0%,76,0
ice creams shops near me,0,0,3,0,0%,0%,76.33,0
propylene glycol in hint water,0,0,3,1,0%,0%,76.67,95
scoops 'n cups cafe menu,0,0,3,0,0%,0%,76.67,0
flavor of ice cream,0,0,3,0,0%,0%,77,0
ice cream in the area,0,0,3,0,0%,0%,77,0
propylene glycol hint water,0,0,3,3,0%,0%,79.33,60
stellar cafe menu,0,0,3,0,0%,0%,79.67,0
ice cream lenoir city,0,0,3,0,0%,0%,80.33,0
coffee and creams,0,0,3,0,0%,0%,80.67,0
back in touch cookeville tn,0,0,3,1,0%,0%,81.33,95
all the flavours of ice cream,0,0,3,0,0%,0%,82.33,0
how far is cookeville tn from nashville tn,0,0,3,0,0%,0%,82.33,0
cookeville tn to nashville,0,0,3,0,0%,0%,84,0
ice cream maryville tn,0,0,3,0,0%,0%,84.67,0
three scoops menu,0,0,3,0,0%,0%,85.33,0
coffee with ice cream name,0,0,3,0,0%,0%,86.67,0
lecithin in ice cream,0,0,3,0,0%,0%,86.67,0
is cream,0,0,3,0,0%,0%,87,0
west orange ice cream,0,0,3,0,0%,0%,87.67,0
queen city ice,0,0,3,0,0%,0%,88.33,0
tropical coffee shop,0,0,3,0,0%,0%,89,0
ice cream how much,0,0,3,0,0%,0%,90.67,0
1950 ice cream shop,0,0,3,0,0%,0%,93.33,0
cream e,0,0,3,0,0%,0%,93.33,0
ice cream w,0,0,3,0,0%,0%,94,0
black ice cream near me,0,0,3,0,0%,0%,94.67,0
food stamps cookeville tn,0,0,3,0,0%,0%,96.67,0
the ice cream shop (twin peaks),0,0,3,0,0%,0%,96.67,0
ice cream menus,0,0,3,0,0%,0%,97,0
cream ice cream shop,0,0,3,0,0%,0%,97.33,0
tropical ice cream menu,0,0,3,2,0%,0%,97.33,70
what is superman ice cream flavor,0,0,3,0,0%,0%,97.67,0
water ice cream near me,0,0,3,0,0%,0%,98,0
+cream,0,0,3,0,0%,0%,99,0
activities near me,0,0,2,0,0%,0%,1,0
bbq cookeville,0,0,2,0,0%,0%,1,0
cream city font,0,0,2,0,0%,0%,1,0
desert near me,0,0,2,0,0%,0%,1,0
ice cream calcium,0,0,2,0,0%,0%,1,0
maple and cream menu,0,0,2,0,0%,0%,1,0
frozen custard,0,0,2,0,0%,0%,1.5,0
ice cream stores near me,0,0,2,2,0%,0%,1.5,1.5
brownie batter overload culvers,0,0,2,0,0%,0%,2,0
cookeville tn ice cream shops,0,0,2,0,0%,0%,2,0
fun things to do in cookeville,0,0,2,0,0%,0%,2,0
gue ice cream,0,0,2,0,0%,0%,2,0
ice cream nea rme,0,0,2,0,0%,0%,2,0
ice cream near me now,0,0,2,3,0%,0%,2,2
ice cream open nearby,0,0,2,0,0%,0%,2,0
ice cream places mear me,0,0,2,0,0%,0%,2,0
ice. cream near me,0,0,2,1,0%,0%,2,2
ice. cream shops near me,0,0,2,0,0%,0%,2,0
icecream cone near me,0,0,2,0,0%,0%,2,0
icw cream places near me,0,0,2,0,0%,0%,2,0
what ice cream is open,0,0,2,0,0%,0%,2,0
black raspberry truffle ice cream,0,0,2,0,0%,0%,3,0
cream city brick,0,0,2,0,0%,0%,3,0
ice dream near me,0,0,2,0,0%,0%,3,0
rolled ice cream,0,0,2,0,0%,0%,3,0
party space rental,0,0,2,0,0%,0%,3.5,0
coffee shops with event space,0,0,2,0,0%,0%,4,0
flavors icecream,0,0,2,0,0%,0%,4,0
ice cream neat me,0,0,2,4,0%,0%,4,2
ice cream sundae near me,0,0,2,0,0%,0%,4,0
ice creams,0,0,2,2,0%,0%,4,14
cheap ice cream near me,0,0,2,0,0%,0%,5,0
icecream falvor,0,0,2,0,0%,0%,5,0
locust syrup,0,0,2,0,0%,0%,5.5,0
coffee shop nearme,0,0,2,0,0%,0%,6,0
cream in the city,0,0,2,0,0%,0%,6,0
froyo near me open now,0,0,2,0,0%,0%,6,0
ice cream and brownie near me,0,0,2,0,0%,0%,6,0
riboflavin cream,0,0,2,0,0%,0%,6,0
waffle cone ice cream near me,0,0,2,0,0%,0%,6,0
ice cream and coffee shop near me,0,0,2,1,0%,0%,6.5,12
city party,0,0,2,0,0%,0%,7,0
ice cream buffet near me,0,0,2,0,0%,0%,7,0
ice cream flavors with n,0,0,2,0,0%,0%,7,0
party rooms for rent near me,0,0,2,0,0%,0%,7,0
coffee houses near me,0,0,2,1,0%,0%,7.5,10
coffee shop.mear me,0,0,2,0,0%,0%,7.5,0
coffee shops.near me,0,0,2,0,0%,0%,7.5,0
small party rooms for rent,0,0,2,0,0%,0%,7.5,0
white city ice cream,0,0,2,0,0%,0%,7.5,0
good ice cream near me,0,0,2,0,0%,0%,8,0
ice cream restaurants near me,0,0,2,1,0%,0%,8,5
coffe shops near me,0,0,2,0,0%,0%,8.5,0
brownie ice cream near me,0,0,2,0,0%,0%,9,0
carrageenan in ice cream,0,0,2,0,0%,0%,9,0
codfe shop near me,0,0,2,0,0%,0%,9,0
coffee shops near me.,0,0,2,0,0%,0%,9.5,0
cayenne pepper ice cream,0,0,2,0,0%,0%,10,0
city variety of ice cream,0,0,2,0,0%,0%,10,0
room for cream перевод,0,0,2,0,0%,0%,10.5,0
dessert shop,0,0,2,0,0%,0%,11,0
venues to rent for parties,0,0,2,0,0%,0%,11,0
cream city sauce,0,0,2,0,0%,0%,11.5,0
yogurt ice cream near me,0,0,2,0,0%,0%,11.5,0
coffee and cream hours,0,0,2,0,0%,0%,12,0
real gelato near me,0,0,2,0,0%,0%,13,0
guar gum ice cream,0,0,2,1,0%,0%,14.5,66
ice.cream hyunjin,0,0,2,0,0%,0%,16,0
ice tech menu,0,0,2,0,0%,0%,17.5,0
gelato coffee near me,0,0,2,0,0%,0%,18,0
the history of cream,0,0,2,5,0%,0%,19.5,86.6
red and yellow ice cream,0,0,2,0,0%,0%,21,0
sorbate ice cream,0,0,2,1,0%,0%,21,10
ice cream white city,0,0,2,0,0%,0%,21.5,0
ice cream flavor with e,0,0,2,0,0%,0%,22,0
ice cram menu,0,0,2,0,0%,0%,23.5,0
nutter's ice cream menu,0,0,2,0,0%,0%,25.5,0
welcome home ice cream,0,0,2,0,0%,0%,26,0
what are all the ice cream flavors,0,0,2,0,0%,0%,27,0
icecream and coffee,0,0,2,0,0%,0%,28,0
creamy cup hours,0,0,2,1,0%,0%,28.5,48
natural ice cream,0,0,2,0,0%,0%,32,0
ice cream.and coffee,0,0,2,0,0%,0%,32.5,0
how much cream is in ice cream,0,0,2,0,0%,0%,33.5,0
ice cream flavors with i,0,0,2,0,0%,0%,33.5,0
ice cream places open,0,0,2,2,0%,0%,34,4
flavors for ice cream,0,0,2,0,0%,0%,35,0
ice cream shop orange city,0,0,2,0,0%,0%,36,0
df coffee,0,0,2,0,0%,0%,38,0
swirl ice cream near me,0,0,2,0,0%,0%,39,0
black ice cream flavors,0,0,2,0,0%,0%,39.5,0
coffee house near me,0,0,2,1,0%,0%,39.5,8
ice cream tastes,0,0,2,0,0%,0%,40,0
ice cream house hours,0,0,2,0,0%,0%,42.5,0
ice cream flavors that start with n,0,0,2,0,0%,0%,44,0
ice cream store menu,0,0,2,0,0%,0%,46.5,0
icecream names,0,0,2,1,0%,0%,49,17
an ice cream or ice cream,0,0,2,0,0%,0%,49.5,0
i c e cream near me open,0,0,2,0,0%,0%,49.5,0
home cream,0,0,2,0,0%,0%,50,0
city coffee shop,0,0,2,0,0%,0%,50.5,0
party room booking,0,0,2,0,0%,0%,50.5,0
coffee oreo ice cream near me,0,0,2,0,0%,0%,51.5,0
delicious ice cream flavors,0,0,2,0,0%,0%,52,0
waffle house cookeville tennessee,0,0,2,0,0%,0%,52,0
cream and coffee menu,0,0,2,10,0%,0%,53.5,22.3
ia cream,0,0,2,0,0%,0%,53.5,0
natural ice cream stabilizer,0,0,2,0,0%,0%,53.5,0
ice cream near me menu,0,0,2,0,0%,0%,54,0
tropical ice cream & coffee,0,0,2,0,0%,0%,54,0
ice cream room,0,0,2,0,0%,0%,55,0
ice cream shop menus,0,0,2,0,0%,0%,55,0
coffee and ice cream,0,0,2,1,0%,0%,55.5,1
just cream ice cream,0,0,2,1,0%,0%,56,90
raspberry cheesecake ice cream near me,0,0,2,0,0%,0%,56,0
city house coffee,0,0,2,0,0%,0%,57.5,0
creamy cone cafe,0,0,2,3,0%,0%,57.5,59
date ice cream near me,0,0,2,1,0%,0%,58,23
yellow ice cream flavours,0,0,2,0,0%,0%,58,0
whites ice cream,0,0,2,0,0%,0%,58.5,0
ice cream. near me,0,0,2,2,0%,0%,60.5,1.5
old ice cream signs,0,0,2,0,0%,0%,61.5,0
blended ice cream,0,0,2,0,0%,0%,62,0
ice cream in near me,0,0,2,0,0%,0%,62,0
waffle house cookeville tn,0,0,2,0,0%,0%,62,0
food city in cookeville tn,0,0,2,0,0%,0%,63,0
ice cream nesr me,0,0,2,1,0%,0%,63,2
"food city cookeville, tn",0,0,2,8,0%,0%,64,1.5
nearby ice cream shop,0,0,2,0,0%,0%,64,0
icecream places near me,0,0,2,1,0%,0%,64.5,9
cream and,0,0,2,0,0%,0%,65,0
does braum's have coffee ice cream,0,0,2,0,0%,0%,65,0
triple flavor ice cream,0,0,2,0,0%,0%,65,0
cream history,0,0,2,0,0%,0%,65.5,0
tennessee flavors,0,0,2,0,0%,0%,65.5,0
what are all the flavors of ice cream,0,0,2,0,0%,0%,66,0
creamy ice,0,0,2,0,0%,0%,66.5,0
god save the cream menu,0,0,2,0,0%,0%,66.5,0
baskin robbins cookeville tn,0,0,2,0,0%,0%,67.5,0
chocolate ice cream cones near me,0,0,2,0,0%,0%,67.5,0
the coffee house menu,0,0,2,0,0%,0%,68,0
cookeville dairy queen,0,0,2,0,0%,0%,69,0
iced sherbet,0,0,2,0,0%,0%,69,0
sweet swirls menu,0,0,2,0,0%,0%,69,0
city ice company,0,0,2,0,0%,0%,70,0
the party room book,0,0,2,0,0%,0%,71.5,0
cream with coffee,0,0,2,0,0%,0%,72,0
cookvill,0,0,2,0,0%,0%,72.5,0
latteria ice cream,0,0,2,0,0%,0%,73,0
coffee house cookies,0,0,2,0,0%,0%,74,0
roll ice cream & coffee menu,0,0,2,3,0%,0%,74.5,81
ice creamery near me,0,0,2,1,0%,0%,75,1
nachural ice cream near me,0,0,2,0,0%,0%,75.5,0
cream ice cream menu,0,0,2,0,0%,0%,76,0
american creamery menu,0,0,2,0,0%,0%,76.5,0
tech coffee house,0,0,2,0,0%,0%,77,0
the local coffee house menu,0,0,2,0,0%,0%,77,0
cream for coffe,0,0,2,0,0%,0%,77.5,0
df milk,0,0,2,0,0%,0%,79,0
ice cream near,0,0,2,1,0%,0%,80,4
flavored ice cream,0,0,2,0,0%,0%,80.5,0
different vanilla ice cream flavors,0,0,2,0,0%,0%,81,0
what are the ice cream flavors,0,0,2,0,0%,0%,81,0
buy fudge tn,0,0,2,0,0%,0%,81.5,0
stellar coffee,0,0,2,0,0%,0%,81.5,0
where to buy coffee ice cream cake,0,0,2,0,0%,0%,81.5,0
blue ice cream names,0,0,2,1,0%,0%,82,94
